Ticker,Status,Rows,Message
MAHA,OK,8,
MAIN,OK,8,
MAMI,NO_DATA,0,
MAMIP,NO_DATA,0,
MANG,OK,8,
MANY,NO_DATA,0,
MAPA,OK,8,
MAPB,OK,7,
MAPI,OK,8,
MARI,OK,9,
MARK,OK,8,
MASB,OK,8,
MAXI,OK,8,
MAYA,OK,8,
MBAP,OK,8,
MBMA,OK,8,
MBSS,OK,8,
MBTO,OK,8,
MCAS,OK,8,
MCOL,OK,8,
MCOR,OK,8,
MDIA,OK,9,
MDIY,OK,8,
MDKA,OK,8,
MDKI,OK,8,
MDLA,OK,8,
MDLN,OK,8,
MDRN,OK,9,
MEDC,OK,8,
MEDS,OK,8,
MEGA,OK,8,
MEJA,OK,8,
MENN,OK,9,
MERI,OK,8,
MERK,OK,8,
META,NO_DATA,0,
MFMI,OK,9,
MGLV,OK,8,
MGNA,OK,8,
MGRO,OK,8,
MHKI,OK,8,
MICE,OK,8,
MIDI,OK,8,
MIKA,OK,8,
MINA,OK,8,
MINE,OK,8,
MIRA,OK,8,
MITI,OK,8,
MKAP,OK,8,
MKNT,OK,9,
MKPI,OK,8,
MKTR,OK,8,
MLBI,OK,8,
MLIA,OK,8,
MLPL,OK,8,
MLPT,OK,8,
MMIX,OK,8,
MMLP,OK,8,
MNCN,OK,8,
MOLI,OK,8,
MORA,OK,8,
MPIX,OK,8,
MPMX,OK,8,
MPOW,OK,8,
MPPA,OK,8,
MPRO,OK,8,
MPXL,OK,8,
MRAT,OK,8,
MREI,OK,9,
MSIE,OK,8,
MSIN,OK,8,
MSJA,OK,8,
MSKY,OK,8,
MSTI,OK,8,
MTDL,OK,8,
MTEL,OK,8,
MTFN,OK,9,
MTLA,OK,8,
MTMH,OK,8,
MTPS,OK,9,
MTRA,NO_DATA,0,
MTSM,OK,9,
MTWI,OK,8,
MUTU,OK,8,
MYOH,OK,8,
MYOR,OK,8,
MYRX,NO_DATA,0,
MYRXP,NO_DATA,0,
MYTX,OK,9,
NAIK,OK,8,
NANO,OK,8,
NASA,OK,8,
NASI,OK,8,
NATO,OK,8,
NAYZ,OK,8,
NCKL,OK,8,
NELY,OK,8,
NEST,OK,8,
NETV,OK,8,
NFCX,OK,8,
NICE,OK,8,
NICK,OK,8,
NICL,OK,8,
NIKL,OK,8,
NINE,OK,8,
NIPS,NO_DATA,0,
NIRO,OK,8,
NISP,OK,8,
NOBU,OK,8,
NPGF,OK,8,
NRCA,OK,8,
NSSS,OK,8,
NTBK,OK,8,
NUSA,NO_DATA,0,
NZIA,OK,8,
OASA,OK,8,
OBAT,OK,8,
OBMD,OK,8,
OCAP,NO_DATA,0,
OILS,OK,8,
OKAS,OK,8,
OLIV,OK,8,
OMED,OK,8,
OMRE,OK,8,
OPMS,OK,8,
PACK,OK,8,
PADA,OK,8,
PADI,OK,8,
PAFI,NO_DATA,0,
PALM,OK,8,
PAMG,OK,8,
PANI,OK,8,
PANR,OK,8,
PANS,OK,8,
PART,OK,8,
PBID,OK,8,
PBRX,OK,8,
PBSA,OK,8,
PCAR,OK,8,
PDES,OK,8,
PDPP,OK,8,
PEGE,OK,8,
PEHA,OK,8,
PEVE,OK,8,
PGAS,OK,8,
PGEO,OK,8,
PGJO,OK,8,
PGLI,OK,8,
PGUN,OK,8,
PICO,OK,8,
PIPA,OK,8,
PJAA,OK,8,
PJHB,OK,8,
